Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
27/07/2024,6.0,14.0,1.0,0.0,1,0.0,0.0,0,11.0,2.0,3.0,0.0,8.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
27/07/2024,20.0,11.0,0.0,0.0,0,0.0,0.0,0,1.0,9.0,0.0,2.0,15.0,15.0,2.0,6.0,2.0,1.0,0.0,0.0
28/07/2024,8.0,5.0,0.0,1.0,-1,0.0,1.0,-1,12.0,12.0,5.0,4.0,15.0,7.0,5.0,6.0,5.0,2.0,0.0,0.0
26/07/2024,2.0,9.0,1.0,1.0,0,0.0,0.0,0,28.0,5.0,7.0,2.0,14.0,8.0,7.0,2.0,1.0,2.0,0.0,0.0
27/07/2024,3.0,1.0,0.0,0.0,0,0.0,0.0,0,3.0,10.0,0.0,3.0,12.0,7.0,4.0,6.0,4.0,2.0,0.0,0.0
28/07/2024,7.0,10.0,0.0,0.0,0,0.0,0.0,0,21.0,4.0,3.0,1.0,12.0,14.0,10.0,1.0,0.0,4.0,0.0,0.0
28/07/2024,17.0,4.0,0.0,1.0,-1,0.0,0.0,0,15.0,8.0,5.0,2.0,10.0,7.0,8.0,4.0,2.0,2.0,0.0,0.0
28/07/2024,12.0,13.0,3.0,0.0,1,1.0,0.0,1,10.0,12.0,6.0,4.0,9.0,12.0,6.0,7.0,0.0,1.0,0.0,0.0
02/08/2024,1.0,20.0,3.0,1.0,1,2.0,0.0,1,10.0,6.0,4.0,2.0,12.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0
03/08/2024,9.0,12.0,2.0,4.0,-1,0.0,2.0,-1,12.0,14.0,4.0,9.0,14.0,13.0,8.0,4.0,4.0,3.0,0.0,0.0
03/08/2024,11.0,7.0,3.0,1.0,1,2.0,0.0,1,11.0,18.0,5.0,7.0,12.0,16.0,2.0,10.0,2.0,2.0,0.0,0.0
03/08/2024,14.0,8.0,1.0,4.0,-1,0.0,4.0,-1,3.0,15.0,2.0,7.0,6.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0
04/08/2024,5.0,6.0,1.0,2.0,-1,1.0,1.0,0,17.0,10.0,7.0,4.0,17.0,11.0,7.0,2.0,2.0,0.0,0.0,0.0
04/08/2024,13.0,17.0,1.0,2.0,-1,1.0,1.0,0,23.0,11.0,6.0,6.0,7.0,13.0,14.0,7.0,2.0,3.0,0.0,0.0
04/08/2024,10.0,2.0,1.0,0.0,1,0.0,0.0,0,10.0,16.0,2.0,6.0,10.0,8.0,3.0,10.0,0.0,2.0,0.0,0.0
04/08/2024,4.0,3.0,1.0,2.0,-1,0.0,1.0,-1,15.0,17.0,3.0,5.0,8.0,13.0,6.0,3.0,0.0,3.0,0.0,0.0
09/08/2024,10.0,9.0,0.0,0.0,0,0.0,0.0,0,17.0,9.0,4.0,2.0,7.0,9.0,6.0,3.0,1.0,1.0,0.0,0.0
10/08/2024,3.0,17.0,4.0,1.0,1,2.0,1.0,1,12.0,9.0,6.0,2.0,10.0,8.0,3.0,9.0,0.0,4.0,0.0,1.0
10/08/2024,12.0,1.0,4.0,3.0,1,3.0,1.0,1,24.0,14.0,9.0,7.0,11.0,15.0,5.0,6.0,5.0,3.0,0.0,0.0
10/08/2024,6.0,11.0,1.0,1.0,0,1.0,1.0,0,19.0,10.0,2.0,4.0,10.0,14.0,9.0,4.0,3.0,2.0,0.0,0.0
11/08/2024,7.0,2.0,3.0,2.0,1,0.0,1.0,-1,14.0,17.0,7.0,7.0,10.0,4.0,5.0,4.0,2.0,2.0,0.0,0.0
11/08/2024,5.0,14.0,6.0,1.0,1,2.0,0.0,1,11.0,15.0,8.0,7.0,4.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0
11/08/2024,8.0,4.0,1.0,0.0,1,0.0,0.0,0,17.0,7.0,5.0,0.0,14.0,6.0,4.0,3.0,3.0,1.0,0.0,0.0
11/08/2024,13.0,20.0,4.0,1.0,1,3.0,1.0,1,22.0,4.0,8.0,3.0,8.0,12.0,8.0,1.0,2.0,2.0,0.0,0.0
16/08/2024,1.0,8.0,1.0,0.0,1,0.0,0.0,0,18.0,6.0,4.0,1.0,14.0,19.0,5.0,4.0,1.0,4.0,0.0,0.0
17/08/2024,20.0,7.0,3.0,4.0,-1,1.0,3.0,-1,15.0,11.0,7.0,6.0,7.0,12.0,6.0,3.0,3.0,1.0,0.0,1.0
17/08/2024,14.0,3.0,3.0,3.0,0,2.0,1.0,1,12.0,14.0,4.0,7.0,10.0,6.0,3.0,7.0,1.0,1.0,0.0,0.0
17/08/2024,9.0,6.0,1.0,3.0,-1,1.0,2.0,-1,22.0,12.0,9.0,8.0,12.0,12.0,9.0,8.0,1.0,2.0,0.0,0.0
18/08/2024,2.0,5.0,1.0,0.0,1,0.0,0.0,0,14.0,13.0,5.0,3.0,14.0,13.0,7.0,8.0,1.0,4.0,0.0,1.0
18/08/2024,11.0,13.0,1.0,1.0,0,1.0,1.0,0,12.0,11.0,6.0,5.0,11.0,13.0,6.0,4.0,3.0,2.0,1.0,0.0
18/08/2024,17.0,10.0,1.0,0.0,1,0.0,0.0,0,21.0,6.0,8.0,0.0,9.0,13.0,13.0,0.0,1.0,1.0,0.0,1.0
18/08/2024,4.0,12.0,4.0,1.0,1,3.0,1.0,1,15.0,15.0,8.0,8.0,14.0,14.0,7.0,5.0,2.0,1.0,0.0,0.0
24/08/2024,12.0,11.0,1.0,1.0,0,1.0,1.0,0,15.0,13.0,3.0,6.0,12.0,14.0,7.0,6.0,3.0,2.0,0.0,0.0
24/08/2024,5.0,9.0,0.0,1.0,-1,0.0,1.0,-1,19.0,13.0,4.0,4.0,9.0,11.0,14.0,2.0,2.0,2.0,0.0,0.0
25/08/2024,3.0,2.0,1.0,2.0,-1,1.0,2.0,-1,11.0,13.0,5.0,4.0,13.0,13.0,6.0,1.0,3.0,2.0,0.0,0.0
25/08/2024,14.0,1.0,0.0,0.0,0,0.0,0.0,0,5.0,13.0,0.0,2.0,11.0,11.0,3.0,8.0,2.0,3.0,1.0,0.0
25/08/2024,10.0,20.0,1.0,0.0,1,0.0,0.0,0,12.0,11.0,3.0,2.0,7.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0
25/08/2024,8.0,17.0,1.0,0.0,1,1.0,0.0,1,12.0,5.0,3.0,1.0,8.0,11.0,4.0,2.0,1.0,3.0,0.0,0.0
30/08/2024,7.0,12.0,1.0,0.0,1,0.0,0.0,0,15.0,9.0,5.0,0.0,4.0,16.0,0.0,1.0,1.0,5.0,0.0,0.0
31/08/2024,9.0,8.0,5.0,2.0,1,3.0,2.0,1,11.0,25.0,7.0,6.0,9.0,11.0,0.0,7.0,1.0,3.0,0.0,0.0
31/08/2024,20.0,3.0,1.0,2.0,-1,0.0,2.0,-1,15.0,16.0,4.0,4.0,17.0,22.0,0.0,2.0,4.0,1.0,0.0,0.0
31/08/2024,11.0,10.0,2.0,0.0,1,1.0,0.0,1,13.0,4.0,4.0,0.0,10.0,17.0,11.0,3.0,4.0,4.0,0.0,0.0
01/09/2024,2.0,13.0,3.0,0.0,1,2.0,0.0,1,21.0,11.0,10.0,3.0,8.0,8.0,4.0,5.0,1.0,1.0,0.0,0.0
01/09/2024,4.0,5.0,1.0,1.0,0,1.0,1.0,0,15.0,15.0,8.0,10.0,18.0,10.0,1.0,5.0,4.0,3.0,0.0,0.0
01/09/2024,1.0,6.0,0.0,0.0,0,0.0,0.0,0,22.0,10.0,6.0,5.0,10.0,13.0,8.0,4.0,3.0,4.0,0.0,0.0
01/09/2024,17.0,14.0,1.0,1.0,0,0.0,1.0,-1,15.0,8.0,4.0,3.0,8.0,12.0,8.0,6.0,1.0,1.0,0.0,0.0
