club_name,value_eur
AS_Eupen,1101534.8837209302
Anderlecht,3493443.2234432236
Antwerp,2466276.0416666665
Beerschot VA,1274363.6363636365
Cercle Brugge,1202394.7368421052
Club Brugge,4625337.078651685
Genk,3260207.547169811
Gent,2713467.1532846717
KV_Oostende,1303312.2362869198
Kortrijk,1123041.0447761193
Lierse_SK,366481.48148148146
Mechelen,1076270.1612903227
Oud-Heverlee Leuven,1274699.2481203007
RFC_Seraing,785892.8571428572
RWD Molenbeek,1074107.142857143
Royal_Excel_Mouscron,733271.2765957447
St Truiden,1035146.4435146444
Sporting_Charleroi,1389695.8174904943
Sporting_Lokeren,989927.00729927
Standard,2304212.454212454
St. Gilloise,1671621.6216216215
Waasland-Beveren,739601.0638297872
Westerlo,991220.4724409449
Zulte-Waregem,1159872.8813559322
