HomeTeam,Matches_Played,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference,Points
Anderlecht,5,3,2,0,7.0,3.0,4.0,11
Antwerp,6,2,1,3,9.0,6.0,3.0,7
Beerschot VA,6,0,1,5,6.0,14.0,-8.0,1
Cercle Brugge,5,1,1,3,6.0,10.0,-4.0,4
Charleroi,6,3,0,3,8.0,8.0,0.0,9
Club Brugge,6,3,1,2,9.0,6.0,3.0,10
Dender,6,3,2,1,12.0,8.0,4.0,11
Genk,5,3,1,1,9.0,8.0,1.0,10
Gent,5,2,1,2,7.0,5.0,2.0,7
Kortrijk,6,2,1,3,5.0,8.0,-3.0,7
Mechelen,6,2,2,2,10.0,10.0,0.0,8
Oud-Heverlee Leuven,6,2,4,0,8.0,4.0,4.0,10
St Truiden,6,0,3,3,6.0,15.0,-9.0,3
St. Gilloise,6,2,3,1,7.0,5.0,2.0,9
Standard,6,2,2,2,2.0,3.0,-1.0,8
Westerlo,6,3,1,2,13.0,11.0,2.0,10
